epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.1974,0.98443,2.25957,1.13839,1.05589,0.73753,0.77521,0.74982,0.53636,0.69584,0.74385,0.69805,0.40172,0.81125,2.07362,0.58851,0.92488,0.0669362,3.30969e-05,3.30969e-05
2,59.3365,0.8285,1.82119,0.63084,0.96281,0.81378,0.8207,0.85083,0.59959,0.72308,0.73247,0.71662,0.36202,0.79142,2.37101,0.55355,0.91012,0.0336361,6.63645e-05,6.63645e-05
3,85.2412,0.78627,1.69827,0.55006,0.937,0.87917,0.83269,0.87848,0.6325,0.82886,0.76914,0.78685,0.40522,0.77496,1.96286,0.52729,0.90471,0.000335973,9.95661e-05,9.95661e-05
4,112.372,0.74876,1.69443,0.53271,0.93123,0.90686,0.85941,0.9083,0.65809,0.87327,0.7856,0.81919,0.45014,0.75883,1.76253,0.48528,0.89346,9.9703e-05,9.9703e-05,9.9703e-05
5,137.402,0.7213,1.63171,0.49586,0.91363,0.89431,0.86669,0.91256,0.66017,0.83816,0.80471,0.8336,0.44834,0.76471,1.7914,0.48274,0.89093,9.9604e-05,9.9604e-05,9.9604e-05
6,165.238,0.71512,1.61388,0.49106,0.9187,0.92657,0.87009,0.92494,0.67367,0.8646,0.80265,0.82973,0.43286,0.74282,1.93836,0.44911,0.88139,9.9505e-05,9.9505e-05,9.9505e-05
7,191.409,0.70315,1.57224,0.46855,0.91043,0.94712,0.85696,0.92979,0.68785,0.90004,0.80815,0.85933,0.4497,0.73864,1.80649,0.44866,0.87718,9.9406e-05,9.9406e-05,9.9406e-05
8,218.488,0.68701,1.58239,0.46552,0.90403,0.92346,0.88436,0.93306,0.6825,0.85867,0.81871,0.82702,0.43172,0.75876,1.88786,0.43869,0.88688,9.9307e-05,9.9307e-05,9.9307e-05
9,244.745,0.68297,1.53367,0.44825,0.90141,0.90808,0.92508,0.94454,0.7059,0.87028,0.81165,0.84386,0.44651,0.71422,1.89167,0.42307,0.87377,9.9208e-05,9.9208e-05,9.9208e-05
10,272.023,0.6768,1.54672,0.44584,0.90598,0.94713,0.88074,0.94482,0.71139,0.87947,0.81059,0.84307,0.45571,0.71251,1.79117,0.42361,0.87888,9.9109e-05,9.9109e-05,9.9109e-05
11,299.098,0.67538,1.54814,0.44958,0.90321,0.92827,0.90658,0.94475,0.70597,0.87188,0.84833,0.85849,0.47461,0.71008,1.7827,0.41487,0.8686,9.901e-05,9.901e-05,9.901e-05
12,325.214,0.67086,1.52852,0.43436,0.89566,0.92926,0.91079,0.94284,0.70006,0.89463,0.82226,0.85267,0.45586,0.74813,1.79984,0.43196,0.87335,9.8911e-05,9.8911e-05,9.8911e-05
13,352.706,0.6692,1.54737,0.43003,0.89626,0.92931,0.91441,0.94277,0.70145,0.86326,0.83849,0.84772,0.46431,0.73062,1.73854,0.41723,0.86997,9.8812e-05,9.8812e-05,9.8812e-05
14,379.574,0.66295,1.53196,0.42583,0.8924,0.92638,0.9026,0.94479,0.71038,0.84418,0.82732,0.83807,0.43879,0.73731,2.00854,0.41577,0.87272,9.8713e-05,9.8713e-05,9.8713e-05
15,404.583,0.64291,1.50951,0.41436,0.88372,0.94166,0.92895,0.95637,0.70925,0.85277,0.84761,0.83464,0.44911,0.72774,1.89548,0.40598,0.86631,9.8614e-05,9.8614e-05,9.8614e-05
16,431.14,0.64988,1.53289,0.41706,0.88582,0.9361,0.92349,0.95901,0.71881,0.85739,0.8488,0.8457,0.45661,0.71187,1.80495,0.40484,0.8652,9.8515e-05,9.8515e-05,9.8515e-05
17,456.01,0.64965,1.51208,0.41347,0.89075,0.91569,0.89152,0.93644,0.69902,0.86666,0.81762,0.84935,0.45172,0.73389,1.83727,0.43263,0.87513,9.8416e-05,9.8416e-05,9.8416e-05
18,480.399,0.63965,1.50642,0.41411,0.88321,0.92292,0.90954,0.94763,0.70955,0.84959,0.82383,0.84384,0.44229,0.74258,2.02353,0.42986,0.87498,9.8317e-05,9.8317e-05,9.8317e-05
19,507.451,0.65021,1.52213,0.4083,0.89098,0.92925,0.89314,0.93948,0.7069,0.88764,0.84569,0.87248,0.49101,0.71508,1.68105,0.40764,0.8741,9.8218e-05,9.8218e-05,9.8218e-05
