epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5344,1.33238,2.88349,2.58569,1.17622,0.01116,0.4056,0.2296,0.13338,0,0,0,0,1.49601,58.9416,2.66064,1.2708,0.0674568,3.25758e-05,3.25758e-05
2,25.142,1.13874,2.16421,1.60224,1.05083,0.82895,0.37543,0.55257,0.3306,0.76405,0.25927,0.26325,0.09353,1.14981,4.14049,1.73226,1.02772,0.0341568,6.58438e-05,6.58438e-05
3,33.9984,1.05901,1.98742,1.2722,1.00563,0.5625,0.70583,0.6642,0.40706,0.50696,0.63639,0.57289,0.2815,1.06265,2.14508,1.14111,0.98631,0.000856622,9.90459e-05,9.90459e-05
4,42.4357,1.03456,1.89799,1.19516,0.98579,0.64336,0.7255,0.71407,0.48091,0.59081,0.67899,0.64558,0.32409,1.01166,2.17821,0.98206,0.97403,9.9703e-05,9.9703e-05,9.9703e-05
5,51.1371,0.97274,1.90643,1.04834,0.97257,0.69396,0.75237,0.7751,0.52214,0.6581,0.7142,0.71411,0.37057,0.98572,2.05863,0.90409,0.96663,9.9604e-05,9.9604e-05,9.9604e-05
6,60.6801,0.96153,1.90772,1.01536,0.98047,0.74329,0.77802,0.80662,0.54915,0.71014,0.71876,0.73404,0.38339,0.95758,1.97349,0.87318,0.95191,9.9505e-05,9.9505e-05,9.9505e-05
7,69.253,0.94588,1.82749,0.96929,0.95329,0.79939,0.77869,0.83301,0.5679,0.76805,0.74787,0.76764,0.40505,0.93622,1.90939,0.82577,0.94569,9.9406e-05,9.9406e-05,9.9406e-05
8,77.8537,0.90993,1.8296,0.91901,0.95124,0.81495,0.80527,0.84228,0.58746,0.77327,0.76613,0.77207,0.41053,0.90569,1.9385,0.80018,0.92994,9.9307e-05,9.9307e-05,9.9307e-05
9,86.6084,0.87951,1.77651,0.85871,0.93501,0.88518,0.80394,0.86438,0.59576,0.84216,0.76477,0.79134,0.4139,0.87057,1.91806,0.76364,0.91618,9.9208e-05,9.9208e-05,9.9208e-05
10,95.2223,0.86216,1.73088,0.8364,0.93606,0.85196,0.81556,0.86132,0.58188,0.81612,0.75688,0.77936,0.39442,0.89618,1.98942,0.75769,0.93121,9.9109e-05,9.9109e-05,9.9109e-05
11,104.608,0.859,1.78221,0.82696,0.93949,0.8576,0.82388,0.857,0.59225,0.81233,0.77087,0.78949,0.42192,0.88906,1.91196,0.76522,0.91735,9.901e-05,9.901e-05,9.901e-05
12,114.177,0.8507,1.7457,0.80196,0.93471,0.87757,0.83498,0.87727,0.60865,0.86253,0.78523,0.82475,0.43318,0.85389,1.9002,0.71719,0.90508,9.8911e-05,9.8911e-05,9.8911e-05
13,123.138,0.8385,1.69319,0.78078,0.93184,0.9141,0.8318,0.8935,0.61563,0.87133,0.77475,0.80493,0.41217,0.8559,2.01518,0.71746,0.90789,9.8812e-05,9.8812e-05,9.8812e-05
14,132.589,0.82477,1.70338,0.77276,0.93179,0.90914,0.83825,0.89527,0.61191,0.86744,0.78967,0.81419,0.42659,0.87068,1.9711,0.69316,0.91059,9.8713e-05,9.8713e-05,9.8713e-05
15,140.234,0.82016,1.61986,0.74203,0.91156,0.93307,0.82533,0.90266,0.62733,0.88484,0.78496,0.82864,0.43216,0.85026,1.92663,0.67941,0.90552,9.8614e-05,9.8614e-05,9.8614e-05
16,148.438,0.80722,1.67324,0.71962,0.91738,0.89672,0.82441,0.88338,0.6226,0.84627,0.76403,0.79388,0.41545,0.858,1.94827,0.68988,0.90302,9.8515e-05,9.8515e-05,9.8515e-05
17,157.76,0.80132,1.7209,0.7187,0.92017,0.90913,0.83155,0.89633,0.63858,0.87841,0.77965,0.81579,0.42804,0.82545,1.94691,0.67078,0.89179,9.8416e-05,9.8416e-05,9.8416e-05
18,167.24,0.8051,1.66926,0.74252,0.92583,0.91045,0.84432,0.89573,0.62779,0.85636,0.77974,0.80754,0.43334,0.84615,1.84502,0.68146,0.89856,9.8317e-05,9.8317e-05,9.8317e-05
19,176.318,0.77444,1.65294,0.68395,0.91264,0.87555,0.86189,0.89309,0.6299,0.86674,0.7804,0.81469,0.41484,0.83762,2.03044,0.66279,0.89517,9.8218e-05,9.8218e-05,9.8218e-05
20,185.513,0.78709,1.64994,0.70869,0.91496,0.9028,0.8622,0.901,0.63647,0.85573,0.79028,0.81794,0.43597,0.84475,1.85246,0.65419,0.89708,9.8119e-05,9.8119e-05,9.8119e-05
21,194.525,0.76997,1.66183,0.66281,0.90888,0.9141,0.85762,0.90904,0.64274,0.87203,0.79574,0.8382,0.42766,0.83978,1.91221,0.64778,0.89743,9.802e-05,9.802e-05,9.802e-05
22,203.959,0.79578,1.67993,0.6919,0.91851,0.91419,0.86103,0.91341,0.63285,0.85151,0.79314,0.81565,0.41074,0.84671,2.0661,0.65159,0.90124,9.7921e-05,9.7921e-05,9.7921e-05
23,212.578,0.77484,1.64665,0.66673,0.90821,0.91758,0.86189,0.91393,0.64332,0.85238,0.7896,0.81586,0.425,0.84711,1.88644,0.63909,0.89809,9.7822e-05,9.7822e-05,9.7822e-05
24,221.52,0.76675,1.64207,0.66843,0.90991,0.9119,0.8735,0.91773,0.64395,0.881,0.79844,0.83592,0.41461,0.82609,2.1016,0.639,0.89058,9.7723e-05,9.7723e-05,9.7723e-05
25,230.559,0.76471,1.6329,0.66368,0.90948,0.93036,0.86367,0.92105,0.65866,0.87772,0.79254,0.83289,0.44095,0.81691,1.90576,0.63654,0.88507,9.7624e-05,9.7624e-05,9.7624e-05
