epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.90352,1.46801,3.46438,3.13377,1.23348,0.00667,0.43308,0.05917,0.02146,0.00067,0.0431,0.00483,0.00072,1.78948,76.1609,2.99184,1.55086,0.079021,2.1e-05,2.1e-05
2,15.2648,1.20256,2.41251,2.09897,1.05204,0.00689,0.49138,0.22989,0.13008,0,0,0,0,1.36431,30.3437,2.6533,1.22415,0.057043,4.29574e-05,4.29574e-05
3,20.1236,1.14309,2.19208,1.7307,1.01205,0.428,0.13507,0.34073,0.21403,0.00101,0.02851,0.00152,0.00035,1.1661,11.1906,2.43888,1.04685,0.0350649,6.48713e-05,6.48713e-05
4,25.3394,1.08769,2.12434,1.46386,1.00701,0.8703,0.38512,0.64874,0.39449,0.80285,0.3394,0.38227,0.12927,1.16687,3.44482,1.94581,1.03474,0.0130867,8.67416e-05,8.67416e-05
5,29.8224,1.0708,1.99994,1.37742,0.9828,0.89526,0.39269,0.69031,0.43289,0.89079,0.39068,0.52826,0.27528,1.11854,2.56763,1.537,0.99698,9.9604e-05,9.9604e-05,9.9604e-05
6,34.5826,1.03782,2.0178,1.23793,0.98282,0.64853,0.71288,0.71561,0.45068,0.55175,0.62928,0.61961,0.32084,1.12378,2.2301,1.24941,1.00097,9.9505e-05,9.9505e-05,9.9505e-05
7,39.2636,1.07754,1.93658,1.28733,0.97406,0.72282,0.70986,0.74367,0.48143,0.64453,0.63869,0.65188,0.35356,1.08307,2.12609,1.13437,0.98945,9.9406e-05,9.9406e-05,9.9406e-05
8,43.7482,1.03443,1.89867,1.16111,0.94557,0.72722,0.70967,0.75569,0.48859,0.63598,0.64765,0.66012,0.35846,1.04959,2.19695,1.08159,0.97114,9.9307e-05,9.9307e-05,9.9307e-05
9,48.1686,0.9896,1.90334,1.08471,0.94677,0.79764,0.74144,0.79951,0.51352,0.6748,0.66091,0.66985,0.33981,1.02956,2.37886,0.97662,0.95106,9.9208e-05,9.9208e-05,9.9208e-05
10,52.7874,0.9667,1.91235,1.05781,0.93525,0.80538,0.74537,0.80452,0.52901,0.72473,0.68894,0.71838,0.37674,1.03547,2.25376,0.92371,0.96728,9.9109e-05,9.9109e-05,9.9109e-05
