epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.933,1.20666,2.67572,1.5878,1.13111,0.63576,0.69822,0.67491,0.43962,0.16921,0.18091,0.0666,0.01783,1.04834,8.81427,0.95309,0.98549,0.0671111,3.29218e-05,3.29218e-05
2,33.0738,0.9302,1.9354,0.80596,0.97976,0.67355,0.79303,0.78283,0.51743,0.63521,0.72164,0.6805,0.35267,0.9067,2.02151,0.69129,0.94765,0.033811,6.61896e-05,6.61896e-05
3,46.6352,0.86611,1.8469,0.68353,0.96179,0.81936,0.81154,0.84201,0.57373,0.77304,0.77459,0.77376,0.39759,0.88736,1.93876,0.63522,0.92943,0.000510914,9.93913e-05,9.93913e-05
4,59.7607,0.83402,1.75339,0.62576,0.94425,0.85616,0.82343,0.86798,0.60719,0.80379,0.77588,0.79243,0.40768,0.84408,1.89408,0.59184,0.90828,9.9703e-05,9.9703e-05,9.9703e-05
5,72.8272,0.80621,1.75335,0.58522,0.93316,0.8789,0.83512,0.89089,0.62,0.80676,0.76728,0.77429,0.40891,0.83997,1.90371,0.57948,0.9041,9.9604e-05,9.9604e-05,9.9604e-05
6,86.3071,0.78037,1.67005,0.56389,0.93106,0.87775,0.84784,0.89142,0.63018,0.82122,0.7971,0.80438,0.4172,0.81159,1.86543,0.56207,0.89901,9.9505e-05,9.9505e-05,9.9505e-05
7,100.36,0.76867,1.68064,0.54788,0.92576,0.91191,0.83954,0.90663,0.64603,0.84995,0.78079,0.79836,0.40932,0.80665,1.96944,0.52507,0.89702,9.9406e-05,9.9406e-05,9.9406e-05
8,113.671,0.74779,1.61889,0.52618,0.91492,0.89799,0.85782,0.92112,0.65236,0.85948,0.78409,0.81668,0.42306,0.80563,1.90463,0.53084,0.88967,9.9307e-05,9.9307e-05,9.9307e-05
9,127.032,0.73063,1.61868,0.5048,0.90379,0.90404,0.86291,0.92711,0.66183,0.84886,0.79915,0.83273,0.42273,0.77918,1.94848,0.51822,0.88043,9.9208e-05,9.9208e-05,9.9208e-05
10,140.612,0.72418,1.58984,0.50228,0.91107,0.91866,0.87005,0.92855,0.67006,0.8606,0.78462,0.81179,0.42019,0.78714,1.86172,0.51283,0.88938,9.9109e-05,9.9109e-05,9.9109e-05
11,154.911,0.71659,1.60794,0.48949,0.90071,0.90792,0.85863,0.92056,0.67192,0.84534,0.79524,0.81199,0.44041,0.76827,1.84664,0.50303,0.87658,9.901e-05,9.901e-05,9.901e-05
12,169.02,0.71322,1.58978,0.48392,0.89707,0.92103,0.87997,0.93502,0.67324,0.85229,0.8196,0.83218,0.43008,0.77341,1.89396,0.49873,0.8814,9.8911e-05,9.8911e-05,9.8911e-05
13,182.446,0.69576,1.55245,0.47026,0.89995,0.90379,0.88322,0.94203,0.69167,0.85933,0.80727,0.84492,0.42979,0.74185,1.99995,0.47021,0.86822,9.8812e-05,9.8812e-05,9.8812e-05
14,196.877,0.70174,1.58319,0.47119,0.89816,0.92655,0.89566,0.94312,0.68953,0.89149,0.82366,0.85791,0.44924,0.76717,1.83456,0.47191,0.87065,9.8713e-05,9.8713e-05,9.8713e-05
15,209.896,0.70094,1.53828,0.4657,0.89452,0.9405,0.88038,0.93969,0.69202,0.87073,0.81907,0.83763,0.43406,0.77126,1.93799,0.47423,0.8751,9.8614e-05,9.8614e-05,9.8614e-05
16,223.918,0.68818,1.56314,0.46081,0.89466,0.94828,0.88615,0.94796,0.69513,0.88476,0.8178,0.83318,0.43456,0.76636,1.89055,0.47339,0.88136,9.8515e-05,9.8515e-05,9.8515e-05
17,238.599,0.68316,1.54791,0.45422,0.89692,0.94191,0.88535,0.94837,0.69112,0.87342,0.82425,0.84141,0.44311,0.73778,1.83641,0.46213,0.86522,9.8416e-05,9.8416e-05,9.8416e-05
18,252.324,0.66974,1.51476,0.44892,0.8877,0.94137,0.8865,0.94448,0.69387,0.87339,0.82691,0.8412,0.4559,0.76013,1.83441,0.46042,0.87014,9.8317e-05,9.8317e-05,9.8317e-05
19,266.692,0.68638,1.55666,0.45249,0.89613,0.93883,0.88229,0.93899,0.68792,0.8872,0.83695,0.86865,0.45889,0.7768,1.80375,0.4664,0.87935,9.8218e-05,9.8218e-05,9.8218e-05
20,280.123,0.66914,1.51571,0.44261,0.88899,0.9024,0.90019,0.94085,0.69483,0.85671,0.85538,0.85683,0.46285,0.76641,1.75266,0.4695,0.88116,9.8119e-05,9.8119e-05,9.8119e-05
21,294.032,0.66827,1.51426,0.44577,0.89251,0.94027,0.88738,0.95031,0.70281,0.88057,0.809,0.83205,0.43719,0.7515,1.95537,0.45552,0.87143,9.802e-05,9.802e-05,9.802e-05
22,307.892,0.66718,1.52573,0.44144,0.88453,0.93899,0.89444,0.95159,0.69986,0.87829,0.81872,0.84409,0.44544,0.74913,1.86161,0.45111,0.8734,9.7921e-05,9.7921e-05,9.7921e-05
23,322.4,0.68047,1.55547,0.44513,0.8968,0.95822,0.88202,0.95203,0.70411,0.88495,0.81155,0.85184,0.46232,0.73266,1.83508,0.44793,0.86198,9.7822e-05,9.7822e-05,9.7822e-05
24,335.904,0.66647,1.51221,0.44094,0.88863,0.93685,0.89974,0.94971,0.69849,0.8627,0.83209,0.83197,0.43282,0.7564,1.95997,0.45499,0.87083,9.7723e-05,9.7723e-05,9.7723e-05
25,348.94,0.64914,1.51094,0.42677,0.88216,0.94737,0.89767,0.95616,0.71097,0.87285,0.81542,0.83963,0.45305,0.73915,1.90088,0.44485,0.86493,9.7624e-05,9.7624e-05,9.7624e-05
26,362.593,0.64645,1.48604,0.42353,0.88303,0.94239,0.89364,0.94871,0.71061,0.87207,0.80815,0.829,0.44627,0.73208,1.94389,0.43902,0.86199,9.7525e-05,9.7525e-05,9.7525e-05
27,376.586,0.64834,1.52088,0.42669,0.87969,0.93635,0.88969,0.94655,0.70498,0.87525,0.82127,0.84933,0.46104,0.74717,1.83015,0.44901,0.86674,9.7426e-05,9.7426e-05,9.7426e-05
28,390.49,0.64829,1.49513,0.42551,0.88099,0.92728,0.90789,0.94841,0.70628,0.88431,0.85026,0.86758,0.46606,0.74554,1.85301,0.43723,0.8648,9.7327e-05,9.7327e-05,9.7327e-05
29,404.326,0.65344,1.51114,0.42676,0.88385,0.93161,0.90876,0.95162,0.70827,0.86631,0.83926,0.85459,0.45043,0.74343,1.85511,0.44196,0.86493,9.7228e-05,9.7228e-05,9.7228e-05
30,417.36,0.64591,1.49848,0.41923,0.88267,0.93026,0.92356,0.9548,0.71899,0.87262,0.83883,0.85702,0.46312,0.72727,1.84576,0.43624,0.85634,9.7129e-05,9.7129e-05,9.7129e-05
31,429.653,0.64313,1.45843,0.41553,0.87404,0.94127,0.91682,0.96083,0.71545,0.86777,0.84618,0.86173,0.45399,0.74659,1.94259,0.43585,0.86623,9.703e-05,9.703e-05,9.703e-05
32,443.93,0.65482,1.51655,0.42426,0.88632,0.93681,0.89663,0.95322,0.70114,0.87331,0.81368,0.83951,0.45416,0.75267,1.8451,0.43733,0.86262,9.6931e-05,9.6931e-05,9.6931e-05
33,458.123,0.65271,1.50056,0.42346,0.88455,0.94117,0.90335,0.9471,0.70117,0.88375,0.85135,0.87914,0.47846,0.74568,1.752,0.44549,0.8669,9.6832e-05,9.6832e-05,9.6832e-05
34,471.094,0.64073,1.48318,0.41145,0.87805,0.92788,0.90992,0.94701,0.70069,0.87851,0.82241,0.84708,0.44964,0.73599,1.88478,0.43655,0.86283,9.6733e-05,9.6733e-05,9.6733e-05
35,484.87,0.65035,1.5399,0.41425,0.8817,0.94099,0.90701,0.95561,0.72285,0.87249,0.83068,0.85985,0.46467,0.72929,1.79327,0.43113,0.8615,9.6634e-05,9.6634e-05,9.6634e-05
36,499.691,0.6512,1.53571,0.41597,0.88191,0.94408,0.91074,0.95679,0.71717,0.88115,0.85055,0.86759,0.47481,0.71357,1.77582,0.42898,0.85126,9.6535e-05,9.6535e-05,9.6535e-05
37,512.831,0.63056,1.4649,0.39952,0.87822,0.93815,0.91877,0.95942,0.71374,0.88942,0.83389,0.85705,0.44331,0.7481,1.93394,0.42895,0.86805,9.6436e-05,9.6436e-05,9.6436e-05
38,526.057,0.62594,1.46754,0.40155,0.87458,0.93873,0.92125,0.96052,0.72673,0.87848,0.83009,0.85587,0.4522,0.70995,1.90702,0.42257,0.85204,9.6337e-05,9.6337e-05,9.6337e-05
39,540.622,0.64613,1.48373,0.41215,0.88162,0.92374,0.92972,0.95481,0.71369,0.89191,0.83597,0.8708,0.46319,0.73092,1.90145,0.42997,0.85542,9.6238e-05,9.6238e-05,9.6238e-05
40,554.133,0.62682,1.48059,0.39729,0.87592,0.94889,0.91572,0.96148,0.72225,0.87436,0.82732,0.85508,0.4528,0.7211,1.93272,0.42053,0.85476,9.6139e-05,9.6139e-05,9.6139e-05
41,568.485,0.63387,1.48895,0.39917,0.87969,0.93487,0.92751,0.95971,0.72399,0.88554,0.84427,0.86276,0.47127,0.72756,1.76643,0.41361,0.85835,9.604e-05,9.604e-05,9.604e-05
42,582.23,0.61982,1.50256,0.39185,0.87687,0.93252,0.92684,0.9582,0.72588,0.88603,0.82797,0.86223,0.46569,0.74678,1.81472,0.4188,0.86776,9.5941e-05,9.5941e-05,9.5941e-05
43,595.017,0.62083,1.47823,0.39499,0.87052,0.92737,0.92945,0.96132,0.72818,0.85964,0.86393,0.8745,0.46297,0.74228,1.83717,0.4134,0.86456,9.5842e-05,9.5842e-05,9.5842e-05
44,608.889,0.62062,1.4711,0.39445,0.87326,0.93802,0.92871,0.96529,0.72749,0.86905,0.86676,0.87949,0.46634,0.72983,1.82727,0.41229,0.86624,9.5743e-05,9.5743e-05,9.5743e-05
45,622.712,0.61872,1.47753,0.39067,0.87528,0.93791,0.92554,0.96613,0.73145,0.90445,0.84987,0.88417,0.46899,0.717,1.86101,0.40592,0.85537,9.5644e-05,9.5644e-05,9.5644e-05
46,635.893,0.61908,1.43933,0.39408,0.87227,0.94786,0.93155,0.96769,0.73965,0.91081,0.84752,0.874,0.45003,0.70393,1.9908,0.40261,0.84894,9.5545e-05,9.5545e-05,9.5545e-05
47,648.735,0.61734,1.47115,0.39239,0.86537,0.94978,0.92669,0.96398,0.72234,0.89036,0.8344,0.86349,0.46659,0.73706,1.78989,0.41632,0.85717,9.5446e-05,9.5446e-05,9.5446e-05
48,663.104,0.61695,1.47142,0.39329,0.87624,0.92872,0.92638,0.96343,0.73031,0.86121,0.85497,0.87637,0.46598,0.71664,1.84519,0.41685,0.85325,9.5347e-05,9.5347e-05,9.5347e-05
49,677.055,0.62721,1.4673,0.39698,0.87473,0.94042,0.9329,0.96302,0.73077,0.87275,0.87243,0.88246,0.47729,0.72724,1.8137,0.41589,0.85734,9.5248e-05,9.5248e-05,9.5248e-05
50,689.954,0.60814,1.46525,0.3888,0.86721,0.9452,0.93577,0.96718,0.73551,0.88383,0.87429,0.88767,0.49101,0.72342,1.72965,0.41257,0.85508,9.5149e-05,9.5149e-05,9.5149e-05
51,702.972,0.61501,1.46842,0.38545,0.86948,0.94651,0.93048,0.9662,0.73863,0.87576,0.85866,0.87312,0.4665,0.72703,1.8752,0.40785,0.85702,9.505e-05,9.505e-05,9.505e-05
52,716.358,0.6187,1.47321,0.39435,0.87429,0.95077,0.92119,0.96819,0.73297,0.88942,0.85768,0.89294,0.48432,0.72272,1.74156,0.40811,0.85677,9.4951e-05,9.4951e-05,9.4951e-05
53,729.391,0.6052,1.46858,0.38257,0.86965,0.9549,0.93132,0.97043,0.73914,0.8842,0.8409,0.85649,0.44795,0.70224,1.91033,0.3989,0.8462,9.4852e-05,9.4852e-05,9.4852e-05
54,742.551,0.60515,1.47175,0.37841,0.8655,0.95284,0.92407,0.96044,0.71327,0.89238,0.87491,0.89732,0.49662,0.77608,1.67462,0.4274,0.88211,9.4753e-05,9.4753e-05,9.4753e-05
55,755.532,0.61195,1.44244,0.3825,0.86653,0.95565,0.9205,0.96445,0.72413,0.89207,0.85293,0.88125,0.46856,0.73843,1.88608,0.41559,0.85829,9.4654e-05,9.4654e-05,9.4654e-05
56,769.3,0.61576,1.46321,0.38821,0.86801,0.94713,0.94043,0.96923,0.7431,0.87688,0.86811,0.88306,0.47394,0.7113,1.75045,0.3999,0.85327,9.4555e-05,9.4555e-05,9.4555e-05
57,782.892,0.62258,1.47102,0.38939,0.87578,0.94815,0.93235,0.96566,0.73112,0.86531,0.85536,0.86525,0.46142,0.72774,1.87476,0.40392,0.86187,9.4456e-05,9.4456e-05,9.4456e-05
58,795.414,0.59661,1.44079,0.37787,0.86375,0.93419,0.93114,0.96064,0.71529,0.86441,0.85142,0.86803,0.4526,0.72998,1.92421,0.40771,0.85903,9.4357e-05,9.4357e-05,9.4357e-05
59,809.129,0.61177,1.47895,0.37861,0.86866,0.94415,0.94296,0.97121,0.74004,0.88461,0.87498,0.88352,0.4671,0.70167,1.77861,0.39221,0.84703,9.4258e-05,9.4258e-05,9.4258e-05
60,822.723,0.6105,1.47131,0.38469,0.87402,0.95824,0.92513,0.96589,0.73745,0.88355,0.86445,0.8776,0.47983,0.70888,1.70571,0.39676,0.85421,9.4159e-05,9.4159e-05,9.4159e-05
