epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5434,1.42413,3.2673,2.33496,1.23274,0.78332,0.30883,0.32757,0.23227,0,0,0,0,1.51623,56.4574,1.87671,1.2624,0.0674239,3.26087e-05,3.26087e-05
2,20.4785,1.01254,2.12136,0.92653,0.99076,0.70934,0.70068,0.73271,0.47746,0.75127,0.4428,0.41346,0.17009,0.99132,4.71979,0.72129,0.94679,0.0341238,6.58767e-05,6.58767e-05
3,27.8498,0.93631,1.91136,0.78565,0.96794,0.75033,0.75885,0.79414,0.50572,0.61694,0.63563,0.62073,0.35235,0.93264,2.32765,0.69353,0.9347,0.000823716,9.90788e-05,9.90788e-05
4,35.2185,0.8949,1.83633,0.70185,0.94657,0.74056,0.78737,0.8039,0.50375,0.59749,0.68077,0.63677,0.36062,0.93468,2.17684,0.68446,0.95003,9.9703e-05,9.9703e-05,9.9703e-05
5,43.0559,0.86449,1.8495,0.67255,0.94427,0.79678,0.82572,0.83821,0.54034,0.70139,0.73999,0.69152,0.36934,0.91057,2.18253,0.63163,0.93349,9.9604e-05,9.9604e-05,9.9604e-05
6,50.8378,0.84848,1.78243,0.61389,0.9275,0.83984,0.8796,0.86824,0.57194,0.73055,0.75412,0.70349,0.39773,0.89701,2.12369,0.576,0.92034,9.9505e-05,9.9505e-05,9.9505e-05
7,58.0282,0.83753,1.71184,0.60138,0.92714,0.87044,0.87929,0.89582,0.58395,0.75171,0.76192,0.70869,0.40775,0.84844,2.04682,0.55749,0.9113,9.9406e-05,9.9406e-05,9.9406e-05
8,65.4175,0.81088,1.68391,0.57356,0.91981,0.87168,0.88021,0.90344,0.59938,0.78845,0.79602,0.76058,0.41217,0.87221,2.05561,0.53255,0.91741,9.9307e-05,9.9307e-05,9.9307e-05
9,72.7265,0.81528,1.72303,0.56973,0.91881,0.87956,0.88245,0.90785,0.61295,0.80203,0.79362,0.77704,0.41162,0.83139,1.98668,0.52626,0.89929,9.9208e-05,9.9208e-05,9.9208e-05
10,80.5507,0.7968,1.72645,0.54799,0.91247,0.9027,0.87273,0.91553,0.6293,0.82866,0.8014,0.79043,0.43124,0.86275,2.00709,0.52434,0.90137,9.9109e-05,9.9109e-05,9.9109e-05
11,87.6889,0.80278,1.69369,0.54685,0.91222,0.91711,0.88764,0.92947,0.63069,0.83623,0.81136,0.80755,0.43481,0.85818,1.89244,0.52927,0.89624,9.901e-05,9.901e-05,9.901e-05
12,95.2719,0.79832,1.65075,0.53953,0.91004,0.92417,0.90588,0.93664,0.63113,0.81156,0.79372,0.76683,0.39964,0.82615,2.00947,0.50513,0.88768,9.8911e-05,9.8911e-05,9.8911e-05
13,102.973,0.7857,1.68116,0.53461,0.90724,0.91799,0.90931,0.93351,0.64901,0.8236,0.82779,0.79889,0.4351,0.79918,1.93541,0.48234,0.88868,9.8812e-05,9.8812e-05,9.8812e-05
14,109.908,0.75259,1.59014,0.51289,0.8946,0.93897,0.92012,0.94991,0.65358,0.83576,0.8147,0.78874,0.42238,0.80635,1.95583,0.47743,0.89474,9.8713e-05,9.8713e-05,9.8713e-05
15,116.599,0.75117,1.60742,0.50401,0.89659,0.94666,0.91924,0.95495,0.65913,0.85761,0.82825,0.82202,0.45518,0.80466,1.82101,0.47138,0.89207,9.8614e-05,9.8614e-05,9.8614e-05
16,123.875,0.75483,1.59566,0.49608,0.89514,0.93598,0.92512,0.9533,0.66579,0.81409,0.79692,0.78177,0.41937,0.78923,2.01033,0.46065,0.88546,9.8515e-05,9.8515e-05,9.8515e-05
17,131.604,0.74886,1.63868,0.49748,0.9055,0.93184,0.92608,0.95369,0.67227,0.82956,0.82424,0.80375,0.42556,0.81029,1.96301,0.45992,0.90261,9.8416e-05,9.8416e-05,9.8416e-05
18,139.009,0.73497,1.60644,0.4789,0.89011,0.94834,0.92202,0.96526,0.66721,0.83557,0.81959,0.81699,0.43533,0.81054,1.96431,0.46916,0.90071,9.8317e-05,9.8317e-05,9.8317e-05
