[0.072s] Invoking command in '/home/vboxuser/ros2_ws/build/kr_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/vboxuser/ros2_ws/install/vision:/home/vboxuser/ros2_ws/install/kr_example_python:/opt/ros/foxy /usr/bin/cmake --build /home/vboxuser/ros2_ws/build/kr_msgs -- -j8 -l8
[0.317s] [  0%] Built target kr_msgs__cpp
[0.328s] [ 12%] Built target kr_msgs__rosidl_generator_c
[0.424s] [ 25%] Built target kr_msgs__rosidl_typesupport_introspection_cpp
[0.452s] [ 37%] Built target kr_msgs__rosidl_typesupport_fastrtps_cpp
[0.460s] [ 63%] Built target kr_msgs__rosidl_typesupport_c
[0.460s] [ 63%] Built target kr_msgs__rosidl_typesupport_introspection_c
[0.464s] [ 75%] Built target kr_msgs__rosidl_typesupport_cpp
[0.540s] [ 88%] Built target kr_msgs__rosidl_typesupport_fastrtps_c
[0.597s] [ 88%] Built target kr_msgs
[0.646s] [ 88%] Built target kr_msgs__py
[0.721s] [100%] Built target kr_msgs__python
[0.781s] [100%] Built target kr_msgs__rosidl_typesupport_introspection_c__pyext
[0.781s] [100%] Built target kr_msgs__rosidl_typesupport_fastrtps_c__pyext
[0.821s] [100%] Built target kr_msgs__rosidl_typesupport_c__pyext
[0.888s] Invoked command in '/home/vboxuser/ros2_ws/build/kr_msgs' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/vboxuser/ros2_ws/install/vision:/home/vboxuser/ros2_ws/install/kr_example_python:/opt/ros/foxy /usr/bin/cmake --build /home/vboxuser/ros2_ws/build/kr_msgs -- -j8 -l8
[4.619s] Invoking command in '/home/vboxuser/ros2_ws/build/kr_msgs': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/vboxuser/ros2_ws/install/vision:/home/vboxuser/ros2_ws/install/kr_example_python:/opt/ros/foxy /usr/bin/cmake --install /home/vboxuser/ros2_ws/build/kr_msgs
[4.629s] -- Install configuration: ""
[4.630s] -- Execute custom install script
[4.631s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/share/ament_index/resource_index/rosidl_interfaces/kr_msgs
[4.634s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/follow_joint__functions.h
[4.634s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/follow_joint__struct.h
[4.635s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/follow_joint__type_support.h
[4.636s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/follow_linear__functions.h
[4.636s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/follow_linear__struct.h
[4.664s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/follow_linear__type_support.h
[4.664s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/geometry_plane__functions.h
[4.664s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/geometry_plane__struct.h
[4.664s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/geometry_plane__type_support.h
[4.664s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/jog_joint__functions.h
[4.664s] -- Up-to-date symlink: /home/vboxuser/ros2_ws/install/kr_msgs/include/kr_msgs/msg/detail/jog_joint__struct.h
