Time (s),UV Hook,UV Tip,UV Lowpoint
1738929939.4513938,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4529321,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.454481,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.456025,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4575593,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4590955,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4606433,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4623146,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4639614,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4655838,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4672134,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4688482,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4706595,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4722831,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4739392,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4755282,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4770937,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.478723,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4803064,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4819295,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4835079,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4851038,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4867024,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.488293,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4899406,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4915254,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4931269,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.4947534,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.496394,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.498645,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.5011322,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.5031176,"[599.9551391601562, 225.2557830810547]","[764.4502563476562, 313.3664855957031]","[667.0330810546875, 372.97662353515625]"
1738929939.5198426,"[552.2275390625, 225.3097381591797]","[717.2517700195312, 314.3788146972656]","[618.0870361328125, 375.009033203125]"
