Time (s),UV Hook,UV Tip,UV Lowpoint
1739180064.2631826,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2637837,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2647972,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2657967,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.266789,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2677617,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2687469,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2697425,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2707944,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.271795,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2727716,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2737534,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2747912,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.275761,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2767646,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2777529,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.278754,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2797656,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.280777,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.281755,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.282739,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2837644,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2847779,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2857726,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2867956,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2877934,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.288765,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2897408,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2907434,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.291754,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2927706,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2937872,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2947516,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2957504,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2967496,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.297804,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2987561,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.2997935,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.3008132,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.3017566,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.3028073,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
1739180064.3038356,"[137.54527282714844, 260.5755615234375]","[238.81423950195312, 294.1354064941406]","[152.41221618652344, 360.4593200683594]"
