Time (s),UV Hook,UV Tip,UV Lowpoint
1739283417.7012413,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7017639,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7027347,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7037225,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7047114,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7056851,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7067077,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7077498,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7086983,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.709765,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7108138,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7117205,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7127793,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7137482,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7146862,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7158337,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7168937,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.717713,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.718699,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7198646,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7207372,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7216854,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7226608,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7237298,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.724917,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.725744,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7268043,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7278264,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.72869,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7297237,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7309859,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7319083,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7329195,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7339838,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7348964,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7359312,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7369423,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.73793,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7389472,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7399733,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7409356,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7419274,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7429268,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7439353,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7448978,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7459137,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7469275,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.747904,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7489054,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7499166,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.750937,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.751959,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7528753,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7538738,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.754926,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7559438,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.756904,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7578871,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7588832,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7599137,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.760915,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7618897,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7628505,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.763866,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7647603,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7657356,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.766675,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.76782,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7687664,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7697084,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.770732,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7717125,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7727153,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7737336,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.774679,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7757266,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7767332,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7778788,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7788596,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7799244,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.780904,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.7818623,"[461.42156982421875, 210.4278106689453]","[623.2158203125, 290.53240966796875]","[530.005126953125, 356.80792236328125]"
1739283417.8006723,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8011737,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8016684,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8026586,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8036942,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8047075,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.805676,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8067155,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8077116,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8086855,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8096595,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8106961,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8116856,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8126922,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8136673,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8147097,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8156943,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8166559,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8177092,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8186848,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.819736,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8206692,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8217008,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.822655,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.823718,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8246648,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8257332,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.826714,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.827738,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.828773,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.829765,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.830807,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8318892,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8330889,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.834,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8350623,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8360322,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8370519,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8377652,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8387496,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8398468,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8406954,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8416991,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.842663,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8436964,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8446681,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.845644,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8466482,"[535.3230590820312, 213.7100067138672]","[695.199951171875, 300.6368408203125]","[601.7484741210938, 362.3623046875]"
1739283417.8629088,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8637903,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.86474,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8657122,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8666835,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8677993,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8686907,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.869776,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.870664,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8717194,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.872685,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.87368,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8746612,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.875704,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8766453,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8776522,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8786845,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8797283,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.880681,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8817232,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.882685,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8837314,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8846407,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8856757,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8866947,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.887706,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8887758,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8897707,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8907533,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.891837,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8926554,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8936574,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8946438,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8956563,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.896642,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8976994,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.8986673,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.899694,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.900705,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9017758,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9026968,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.903677,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9046714,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9057055,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.906683,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9077303,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9086423,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9096773,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9107065,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9116797,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
1739283417.9126801,"[564.7783203125, 215.2340545654297]","[723.9007568359375, 305.79656982421875]","[630.216796875, 365.2899169921875]"
