Time (s),UV Hook,UV Tip,UV Lowpoint
1739181075.3770893,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3777175,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.37877,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.379751,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3807738,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3817506,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3827386,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.383709,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3847551,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3857589,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3867137,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3877146,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3887515,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3897617,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3907847,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3917835,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3927872,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.393752,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.394766,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3957515,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3967175,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3977687,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3987691,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.3997614,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4007456,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4017894,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4027715,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4037695,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.404764,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4061432,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4076252,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.408268,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4092858,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4101071,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4107587,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4117663,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4127476,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.413725,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4147694,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4157915,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4167469,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4177701,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.418764,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.419742,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4207766,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4217556,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4227548,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4237564,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4247468,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4257803,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4267714,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4277544,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4287217,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4297564,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4307466,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4317706,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4327583,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.433721,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4347837,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.4357605,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.436759,"[153.246337890625, 271.527099609375]","[259.611572265625, 305.1849365234375]","[322.4992980957031, 366.3551940917969]"
1739181075.452504,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
1739181075.4529462,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
1739181075.4537568,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
1739181075.454751,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
1739181075.4557514,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
1739181075.4568048,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
1739181075.457787,"[197.28436279296875, 238.3609619140625]","[334.9126281738281, 303.39068603515625]","[315.3671569824219, 366.3215637207031]"
