Time (s),UV Hook,UV Tip,UV Lowpoint
1739283714.2904537,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2912579,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2922502,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.293213,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2942505,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2952504,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.296232,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2972176,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2982523,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.2992601,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3002245,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3012154,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3022392,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3032446,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3042786,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.305212,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3062458,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3072412,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3082554,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3092356,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.31023,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3112514,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3122356,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3132238,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3142462,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.31524,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3163052,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3173718,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3183184,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.319351,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3202877,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3212194,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3222628,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3232718,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3242831,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.325284,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.326231,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3272762,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3282986,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3292599,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3302276,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.331277,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3322697,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3332608,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.334239,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.33523,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3362625,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3372576,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3382504,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.3392327,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.340265,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
1739283714.341255,"[433.64532470703125, 210.20640563964844]","[591.2152709960938, 316.0520324707031]","[493.79736328125, 368.8597412109375]"
