Time (s),UV Hook,UV Tip,UV Lowpoint
1739181249.2511015,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2520494,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2530506,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2540357,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2550354,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2560425,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2570553,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.258022,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2590463,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2600808,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2610571,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.262085,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2630208,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2640316,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2650633,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2660384,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2670205,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.268068,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2690814,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.270034,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.271029,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2720048,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2730935,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2740285,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.275029,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.276008,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2770958,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2781775,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.279091,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.280164,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.281193,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2821512,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2831423,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2841372,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2851574,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2860222,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.287074,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2880945,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
1739181249.2890866,"[440.3500671386719, 213.05039978027344]","[604.3626708984375, 318.2030334472656]","[503.3699035644531, 373.3216857910156]"
