Time (s),UV Hook,UV Tip,UV Lowpoint
1738934291.3151157,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.315919,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3168943,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3179586,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3189063,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3197665,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3208172,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3218071,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.322777,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.323763,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3247733,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3257916,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.326769,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3277755,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3287704,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.329786,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.330813,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3318799,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3327882,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3338764,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3347852,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3357606,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3368132,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3377943,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3388486,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.339774,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3407798,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3417928,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3428204,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3438425,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3447874,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.345826,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3468444,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3477862,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3487737,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3497925,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3507648,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.351858,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3528388,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3537798,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3547812,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3557637,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3567817,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3578439,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3587942,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3597882,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.360786,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3618665,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3627687,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3637671,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3647618,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3657782,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.36681,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3679233,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3688588,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3700168,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3708618,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.371842,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3728323,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3738124,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3749168,"[593.5330810546875, 217.3971405029297]","[756.9262084960938, 313.1043395996094]","[659.6836547851562, 372.636474609375]"
1738934291.3952715,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4134998,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4140332,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4148088,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.415799,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4168682,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4178112,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4187806,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.419768,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4208057,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4218102,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4228232,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4237907,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4247785,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
1738934291.4257967,"[578.3831176757812, 219.14422607421875]","[740.8367309570312, 313.7317810058594]","[644.0701904296875, 373.0023498535156]"
