Time (s),UV Hook,UV Tip,UV Lowpoint
1738934434.6641676,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6649172,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6659129,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6668882,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6678917,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6688924,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.669913,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.670885,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6718857,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6728885,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6739256,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.674907,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6759198,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6769013,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.677985,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.678954,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.679927,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.680957,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.68196,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6828961,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6839242,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6848893,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6859548,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6869578,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6879222,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6889145,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.689917,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.690899,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.691922,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6929076,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6939611,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6949718,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6959243,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6969812,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.697935,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.698928,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.6999276,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.7009394,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.7019289,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
1738934434.7029426,"[585.541748046875, 220.96676635742188]","[750.574462890625, 307.07293701171875]","[650.0582275390625, 366.4287109375]"
