Time (s),UV Hook,UV Tip,UV Lowpoint
1739178598.4684737,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4692938,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4702768,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4713004,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4723582,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4733455,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4743528,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4752908,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4763126,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4773326,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4783382,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4792845,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4804368,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.481361,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4824193,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4834738,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4842846,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4853473,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4862938,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4873004,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4883559,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4892664,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4902763,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.491265,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.492321,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4933472,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4943051,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.495292,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4963386,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4972744,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.498283,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.4992902,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5003283,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5012891,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5023675,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5032728,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5042706,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5053806,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5063634,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5073903,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5083408,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5093076,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5103528,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5113132,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.51256,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5134127,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.514448,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5153039,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5162954,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.51738,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5183263,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5193062,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5203629,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5214202,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5223098,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5233214,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5243397,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5252967,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5263548,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5273697,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5284579,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
1739178598.5293639,"[565.300048828125, 217.76271057128906]","[730.9012451171875, 310.23291015625]","[634.2959594726562, 372.2044677734375]"
