Time (s),UV Hook,UV Tip,UV Lowpoint
1738933922.2224858,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.222869,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2238615,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2358453,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2362335,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2368598,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2379093,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2388961,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.239868,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2408679,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2418914,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2428288,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.243931,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2449415,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.245988,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2468927,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2478216,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.248828,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2498832,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.250817,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2518742,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2528193,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.253859,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2548697,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2558575,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.256866,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2579021,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
1738933922.2588677,"[626.70458984375, 224.9390106201172]","[791.6080322265625, 312.7394104003906]","[691.1703491210938, 374.1570129394531]"
