Time (s),UV Hook,UV Tip,UV Lowpoint
1738932218.6186802,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6191597,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6201196,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.621141,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.622136,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6231549,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6241536,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6251442,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6261292,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6271205,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6281528,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.629116,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6301322,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6311116,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6321654,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
1738932218.6331964,"[600.7767944335938, 219.10121154785156]","[764.0204467773438, 313.8797912597656]","[667.5577392578125, 373.32928466796875]"
