Time (s),UV Hook,UV Tip,UV Lowpoint
1739283975.6748476,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6752381,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6759753,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.676886,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6779377,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6788807,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6799154,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6809056,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6818898,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6829348,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.68394,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6849263,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6859696,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6869128,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6879518,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6889157,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6898978,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.690921,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.691918,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6930232,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6940196,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6949763,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.695981,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6969693,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6980557,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.6990275,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7000165,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7009172,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7019124,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.702902,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.703949,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7049165,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7058985,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7069187,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7079313,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7089205,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.709941,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7109861,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7119038,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7129135,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7139127,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7148986,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7159088,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.716945,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7179594,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7189047,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
1739283975.7199092,"[548.03857421875, 211.5301971435547]","[708.8812866210938, 307.63409423828125]","[611.7931518554688, 363.9562683105469]"
